company,job,degree,salery
google,sales executive,bachelore,1
google,business executive,master,0
google,conputer programmer,bachelore,1
google,sales executive,master,0
google,business executive,bachelore,1
google,conputer programmer,master,1
facebook,sales executive,bachelore,0
facebook,business executive,master,1
facebook,conputer programmer,bachelore,1
facebook,sales executive,master,0
abc pharma,business executive,bachelore,1
abc pharma,conputer programmer,master,0
abc pharma,sales executive,bachelore,0
abc pharma,business executive,master,1
abc pharma,conputer programmer,bachelore,1
abc pharma,sales executive,master,0
